l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
,,,12:34:00,,2.7,2.75,2.65,2.75,,294.5,294.5,294.5,294.5,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:35:00,,2.7,2.75,2.7,2.7,,294.5,294.5,290.25,290.25,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:36:00,,2.7,2.75,2.65,2.7,,292.4,298.7,292.4,298.7,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:37:00,,2.75,2.75,2.65,2.75,,298.7,298.7,290,290.95,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:38:00,,2.75,2.75,2.7,2.75,,290.95,290.95,285,285,,268.5,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:39:00,,2.7,2.75,2.7,2.7,,285,291,285,289.7,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:40:00,,2.7,2.75,2.65,2.7,,290.3,292.65,290.3,292.65,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:41:00,,2.7,2.75,2.65,2.7,,292.65,292.65,291.05,291.05,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:42:00,,2.75,2.75,2.65,2.7,,291.05,291.85,289.65,291.85,,268.45,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:43:00,,2.7,2.75,2.65,2.65,,291.85,294.2,291.85,294.15,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:44:00,,2.7,2.75,2.65,2.65,,294.15,294.15,293.2,293.2,,268.4,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:45:00,,2.65,2.65,2.6,2.55,,293.2,293.2,293.2,293.2,,268.3,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,12:46:00,,2.6,2.6,2.5,2.6,,293.2,293.2,287.4,287.9,,268.35,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE
