,time,date,symbol,open,high,low,close
0,33300,240603,SBIN,863.55,871.9,863.55,865.15
1,33360,240603,SBIN,864.65,875.75,864.65,875.3
2,33420,240603,SBIN,875.05,877.2,867.05,867.65
3,33480,240603,SBIN,867.1,869.85,866.1,869.5
4,33540,240603,SBIN,869.85,870.45,865.25,865.6
5,33600,240603,SBIN,865.2,866.6,863.55,863.65
6,33660,240603,SBIN,864.05,864.75,861.3,862.1
7,33720,240603,SBIN,861.55,862.1,856.75,858.15
8,33780,240603,SBIN,857.6,864,857.45,863.15
9,33840,240603,SBIN,863.4,866.35,862.4,862.85
10,33900,240603,SBIN,863.35,867.4,861.95,866.7
11,33960,240603,SBIN,866.85,868.55,866.3,867.5
12,34020,240603,SBIN,866.85,870.3,866.85,869.65
13,34080,240603,SBIN,870,872,869.15,871
14,34140,240603,SBIN,871,871,868.5,870.2
15,34200,240603,SBIN,870.45,872,869.1,869.3
16,34260,240603,SBIN,869.7,870.65,868.8,869.85
17,34320,240603,SBIN,869.8,870,868.1,868.45
18,34380,240603,SBIN,868.35,870.35,866.65,869.7
19,34440,240603,SBIN,869.5,871.7,869.45,870.95
20,34500,240603,SBIN,870.7,873.8,870.3,873.3
21,34560,240603,SBIN,873.3,875.5,873.05,873.75
22,34620,240603,SBIN,874,875.4,873.65,875.05
23,34680,240603,SBIN,875.1,875.75,874.4,874.8
24,34740,240603,SBIN,874.95,876.4,874.45,874.5
25,34800,240603,SBIN,874.95,875.4,872.2,873
26,34860,240603,SBIN,873.45,873.45,869.35,870.25
27,34920,240603,SBIN,870.5,870.5,868.4,869.1
28,34980,240603,SBIN,869.25,869.35,867,867.1
29,35040,240603,SBIN,867.2,868.75,866.65,867.65
30,35100,240603,SBIN,868,868.2,866.55,867.75
31,35160,240603,SBIN,867.6,869.55,866.5,869.15
32,35220,240603,SBIN,869.15,871.75,869,871.45
33,35280,240603,SBIN,871.7,874,871.6,873.15
34,35340,240603,SBIN,873.05,873.9,872.3,873.7
35,35400,240603,SBIN,873.5,874,872.25,872.55
36,35460,240603,SBIN,872.6,875,872.2,874.9
37,35520,240603,SBIN,874.95,875.4,873.65,874
38,35580,240603,SBIN,874,875.2,873,873.45
39,35640,240603,SBIN,873.45,875.65,873.1,875.65
40,35700,240603,SBIN,875.5,878.55,875.5,877.9
41,35760,240603,SBIN,878.1,878.4,876.45,877.6
42,35820,240603,SBIN,877.4,878.4,877.2,878.3
43,35880,240603,SBIN,877.9,878.9,877.3,877.65
44,35940,240603,SBIN,877.9,880,877.9,880
45,36000,240603,SBIN,880.15,883.5,880.15,883
46,36060,240603,SBIN,883.6,885,882.9,884.6
47,36120,240603,SBIN,884.85,885.35,884.1,884.75
48,36180,240603,SBIN,885,886.4,883.6,884.2
49,36240,240603,SBIN,883.85,885.3,883.3,883.75
50,36300,240603,SBIN,884.35,885.25,883.2,884.25
51,36360,240603,SBIN,884,885.55,883.85,884.35
52,36420,240603,SBIN,884.4,885.4,883.7,884.7
53,36480,240603,SBIN,884.8,888,884.8,886.85
54,36540,240603,SBIN,886.95,887.3,885.05,886.4
55,36600,240603,SBIN,886.1,887.9,886.05,887.85
56,36660,240603,SBIN,887.5,888.3,887.25,887.25
57,36720,240603,SBIN,887.3,887.5,885.1,885.4
58,36780,240603,SBIN,885.1,888.25,885.1,887.85
59,36840,240603,SBIN,887.9,888,887.15,887.15
60,36900,240603,SBIN,886.8,889.2,886.7,889.1
61,36960,240603,SBIN,889.25,892.7,889.2,891.55
62,37020,240603,SBIN,891.2,892.55,889.3,891.25
63,37080,240603,SBIN,891.45,893.25,890.95,892.95
64,37140,240603,SBIN,893,893.5,892.1,892.5
65,37200,240603,SBIN,892.5,893,891.7,892.15
66,37260,240603,SBIN,892.1,893.95,891.3,891.3
