,time,date,symbol,open,high,low,close
0,33300,240606,SBIN,798.0,806.9,796.0,805.9
1,33360,240606,SBIN,805.95,809.55,805.95,809.25
2,33420,240606,SBIN,808.95,810.65,807.05,809.85
3,33480,240606,SBIN,810.3,813.85,810.0,813.8
4,33540,240606,SBIN,814.35,815.3,809.7,810.9
5,33600,240606,SBIN,810.95,811.35,808.3,808.45
6,33660,240606,SBIN,808.0,814.3,807.05,813.95
7,33720,240606,SBIN,814.15,817.7,814.15,815.7
8,33780,240606,SBIN,815.8,817.2,814.0,815.1
9,33840,240606,SBIN,815.5,816.0,813.95,815.2
10,33900,240606,SBIN,815.35,817.2,814.1,815.7
11,33960,240606,SBIN,815.3,815.3,812.3,814.55
12,34020,240606,SBIN,814.2,815.4,813.4,813.95
13,34080,240606,SBIN,813.5,816.35,813.5,815.2
14,34140,240606,SBIN,815.35,816.55,814.65,816.15
15,34200,240606,SBIN,815.9,817.5,815.05,815.4
16,34260,240606,SBIN,815.2,817.55,814.4,815.9
17,34320,240606,SBIN,816.0,817.6,815.45,816.7
18,34380,240606,SBIN,816.8,819.35,816.3,819.1
19,34440,240606,SBIN,819.5,821.45,818.65,819.1
20,34500,240606,SBIN,819.65,820.15,818.45,819.7
21,34560,240606,SBIN,819.95,823.0,819.5,822.65
22,34620,240606,SBIN,822.6,824.0,821.55,823.75
23,34680,240606,SBIN,823.25,823.85,821.0,821.35
24,34740,240606,SBIN,821.65,822.6,819.95,819.95
25,34800,240606,SBIN,819.85,822.75,819.35,822.4
26,34860,240606,SBIN,822.6,822.6,819.55,819.55
27,34920,240606,SBIN,819.55,819.95,817.0,817.35
28,34980,240606,SBIN,817.0,819.5,817.0,819.45
29,35040,240606,SBIN,819.5,819.6,818.0,818.0
30,35100,240606,SBIN,818.35,818.9,816.9,818.8
31,35160,240606,SBIN,818.9,819.7,818.4,819.15
32,35220,240606,SBIN,818.9,819.1,817.05,817.2
33,35280,240606,SBIN,817.0,817.2,813.6,813.6
34,35340,240606,SBIN,813.55,814.35,811.75,812.95
35,35400,240606,SBIN,813.2,815.9,813.0,814.9
36,35460,240606,SBIN,815.0,816.7,814.65,816.6
37,35520,240606,SBIN,816.3,816.8,815.45,815.7
38,35580,240606,SBIN,815.65,818.0,815.55,818.0
39,35640,240606,SBIN,818.0,818.0,815.95,816.3
40,35700,240606,SBIN,816.05,817.0,815.65,816.9
41,35760,240606,SBIN,816.9,817.9,816.55,817.0
42,35820,240606,SBIN,817.15,817.35,816.1,816.55
43,35880,240606,SBIN,816.55,816.75,815.0,815.7
44,35940,240606,SBIN,816.0,817.9,815.75,817.2
45,36000,240606,SBIN,817.2,818.0,816.75,817.8
46,36060,240606,SBIN,817.8,817.8,816.55,816.95
47,36120,240606,SBIN,817.3,817.75,816.95,817.15
48,36180,240606,SBIN,817.3,817.6,816.2,817.35
49,36240,240606,SBIN,817.4,819.5,817.0,818.85
50,36300,240606,SBIN,819.3,819.95,818.65,819.4
51,36360,240606,SBIN,819.5,819.5,818.65,819.35
52,36420,240606,SBIN,819.4,820.0,819.05,819.8
53,36480,240606,SBIN,819.9,820.0,819.25,819.65
54,36540,240606,SBIN,819.35,820.5,819.0,820.05
55,36600,240606,SBIN,820.0,820.5,819.45,820.25
56,36660,240606,SBIN,820.2,821.55,820.1,820.7
57,36720,240606,SBIN,820.7,821.9,820.5,821.6
58,36780,240606,SBIN,821.9,822.0,821.0,821.1
59,36840,240606,SBIN,821.1,822.65,821.0,821.0
60,36900,240606,SBIN,820.7,823.6,820.7,823.6
61,36960,240606,SBIN,823.7,823.7,822.75,823.0
62,37020,240606,SBIN,822.85,823.0,822.1,822.5
63,37080,240606,SBIN,822.5,823.2,822.25,822.55
64,37140,240606,SBIN,822.55,822.95,821.8,822.75
65,37200,240606,SBIN,822.65,823.8,822.6,823.35
66,37260,240606,SBIN,823.75,824.6,823.5,824.35
67,37320,240606,SBIN,824.6,827.35,824.35,827.05
68,37380,240606,SBIN,826.75,827.15,825.5,825.8
69,37440,240606,SBIN,826.0,827.2,824.75,826.65
70,37500,240606,SBIN,826.8,828.0,826.5,827.05
71,37560,240606,SBIN,827.35,827.95,826.95,827.35
72,37620,240606,SBIN,827.2,828.55,827.2,827.8
73,37680,240606,SBIN,827.6,830.0,827.6,829.5
74,37740,240606,SBIN,829.35,830.7,829.0,829.85
75,37800,240606,SBIN,830.0,830.35,829.0,829.15
76,37860,240606,SBIN,829.15,830.0,829.0,829.35
77,37920,240606,SBIN,829.35,830.05,829.0,829.65
78,37980,240606,SBIN,829.65,830.0,829.2,829.5
79,38040,240606,SBIN,829.45,831.55,829.4,831.5
80,38100,240606,SBIN,831.2,831.6,830.05,830.65
81,38160,240606,SBIN,830.6,831.85,830.5,831.5
82,38220,240606,SBIN,831.7,832.65,831.2,832.1
83,38280,240606,SBIN,832.1,832.5,830.45,831.45
84,38340,240606,SBIN,831.0,832.7,830.45,832.45
85,38400,240606,SBIN,832.8,833.35,832.35,832.9
86,38460,240606,SBIN,832.95,833.15,829.65,830.05
87,38520,240606,SBIN,830.05,831.0,830.05,830.95
88,38580,240606,SBIN,831.0,832.0,830.65,831.35
89,38640,240606,SBIN,831.0,831.6,830.9,831.3
90,38700,240606,SBIN,831.3,831.5,830.35,830.8
91,38760,240606,SBIN,830.85,831.15,830.0,830.2
92,38820,240606,SBIN,830.0,830.25,828.5,828.8
93,38880,240606,SBIN,828.8,830.75,828.55,830.1
94,38940,240606,SBIN,830.1,831.3,830.0,831.1
95,39000,240606,SBIN,830.8,831.1,830.0,830.0
96,39060,240606,SBIN,830.0,830.35,829.15,829.35
97,39120,240606,SBIN,829.5,830.05,829.0,829.05
98,39180,240606,SBIN,829.0,829.15,828.0,828.0
99,39240,240606,SBIN,827.6,827.85,827.15,827.3
100,39300,240606,SBIN,827.25,827.8,826.3,827.0
101,39360,240606,SBIN,827.05,827.5,826.8,827.3
102,39420,240606,SBIN,827.25,828.25,827.1,828.0
103,39480,240606,SBIN,827.95,828.5,827.55,828.4
104,39540,240606,SBIN,828.5,829.4,828.3,829.4
105,39600,240606,SBIN,829.45,829.75,828.3,828.3
106,39660,240606,SBIN,828.2,828.45,827.5,828.1
107,39720,240606,SBIN,828.1,828.6,827.7,828.2
108,39780,240606,SBIN,828.2,828.5,827.7,827.95
109,39840,240606,SBIN,828.0,828.25,825.75,826.0
110,39900,240606,SBIN,825.9,827.4,825.9,827.1
111,39960,240606,SBIN,827.2,828.0,827.1,827.9
112,40020,240606,SBIN,827.9,828.3,827.55,827.95
113,40080,240606,SBIN,827.65,827.85,826.45,826.55
114,40140,240606,SBIN,826.7,827.5,826.6,827.5
115,40200,240606,SBIN,827.25,827.45,826.55,826.95
116,40260,240606,SBIN,826.75,827.0,826.25,826.55
117,40320,240606,SBIN,826.75,827.0,826.1,826.4
118,40380,240606,SBIN,826.4,826.5,825.25,825.7
119,40440,240606,SBIN,825.35,827.0,825.35,827.0
120,40500,240606,SBIN,826.9,827.2,826.15,826.7
121,40560,240606,SBIN,826.7,826.9,825.5,825.5
122,40620,240606,SBIN,825.85,826.4,825.5,826.3
123,40680,240606,SBIN,826.0,826.3,825.5,826.0
124,40740,240606,SBIN,825.6,826.35,825.6,826.3
125,40800,240606,SBIN,826.1,826.4,826.0,826.2
126,40860,240606,SBIN,826.15,826.5,825.8,825.8
127,40920,240606,SBIN,825.8,826.0,825.1,825.65
128,40980,240606,SBIN,826.0,826.9,825.7,826.85
129,41040,240606,SBIN,826.75,827.0,826.5,826.95
130,41100,240606,SBIN,826.7,828.15,826.7,828.15
131,41160,240606,SBIN,827.9,828.3,827.05,827.7
132,41220,240606,SBIN,827.75,827.75,826.15,827.0
133,41280,240606,SBIN,826.8,827.3,825.7,826.2
134,41340,240606,SBIN,826.0,826.4,825.7,826.0
135,41400,240606,SBIN,826.4,826.8,825.5,825.7
136,41460,240606,SBIN,825.7,826.0,825.45,825.95
137,41520,240606,SBIN,825.55,825.7,824.7,824.8
138,41580,240606,SBIN,824.7,824.95,823.1,823.55
139,41640,240606,SBIN,823.55,824.0,822.0,822.45
140,41700,240606,SBIN,822.2,823.45,822.05,823.0
141,41760,240606,SBIN,823.05,823.5,821.15,821.15
142,41820,240606,SBIN,821.15,821.35,819.1,819.1
143,41880,240606,SBIN,819.1,822.2,819.0,821.45
144,41940,240606,SBIN,821.6,821.6,819.1,819.4
145,42000,240606,SBIN,819.2,821.1,819.05,819.6
146,42060,240606,SBIN,819.75,821.8,819.55,821.55
147,42120,240606,SBIN,821.45,822.0,820.35,820.45
148,42180,240606,SBIN,820.45,822.35,820.4,822.0
149,42240,240606,SBIN,822.05,822.9,821.95,822.05
150,42300,240606,SBIN,822.1,822.95,820.6,820.6
151,42360,240606,SBIN,820.85,821.4,819.0,819.7
152,42420,240606,SBIN,819.15,819.6,816.25,818.05
153,42480,240606,SBIN,818.05,818.35,816.9,817.5
154,42540,240606,SBIN,817.0,817.35,816.35,816.75
155,42600,240606,SBIN,816.75,819.2,816.3,818.55
156,42660,240606,SBIN,818.6,819.65,818.25,819.6
157,42720,240606,SBIN,819.5,822.55,819.5,821.85
158,42780,240606,SBIN,821.55,824.15,821.5,823.3
159,42840,240606,SBIN,823.35,823.8,821.7,822.85
160,42900,240606,SBIN,822.95,824.7,822.85,824.6
161,42960,240606,SBIN,824.85,825.5,824.55,825.25
162,43020,240606,SBIN,825.2,825.6,824.2,825.3
163,43080,240606,SBIN,825.25,825.95,824.95,825.15
164,43140,240606,SBIN,825.4,825.6,822.9,823.05
165,43200,240606,SBIN,823.3,823.65,822.1,822.9
166,43260,240606,SBIN,822.35,822.95,820.8,821.35
167,43320,240606,SBIN,821.55,821.85,820.0,820.35
168,43380,240606,SBIN,820.25,821.1,820.05,820.85
169,43440,240606,SBIN,821.0,821.75,820.6,821.2
170,43500,240606,SBIN,821.35,822.6,820.5,822.6
171,43560,240606,SBIN,822.8,822.9,820.7,821.35
172,43620,240606,SBIN,821.5,822.25,820.55,821.75
173,43680,240606,SBIN,822.0,822.6,821.5,822.3
174,43740,240606,SBIN,822.0,823.55,821.9,822.6
175,43800,240606,SBIN,822.65,823.05,821.5,821.6
176,43860,240606,SBIN,821.85,822.0,820.6,821.0
177,43920,240606,SBIN,821.15,821.55,820.5,820.75
178,43980,240606,SBIN,821.25,821.6,820.25,820.55
179,44040,240606,SBIN,820.3,820.7,820.0,820.0
180,44100,240606,SBIN,820.0,820.85,820.0,820.35
181,44160,240606,SBIN,820.05,822.0,820.05,821.9
182,44220,240606,SBIN,822.0,822.0,820.1,820.3
183,44280,240606,SBIN,820.5,820.9,820.0,820.05
184,44340,240606,SBIN,820.05,821.3,820.0,821.2
185,44400,240606,SBIN,821.2,821.5,820.2,821.5
186,44460,240606,SBIN,821.2,822.5,821.0,821.5
187,44520,240606,SBIN,821.4,821.65,820.25,820.6
188,44580,240606,SBIN,820.75,821.8,820.65,821.8
189,44640,240606,SBIN,821.7,821.7,820.5,820.5
190,44700,240606,SBIN,820.5,821.45,820.5,821.1
191,44760,240606,SBIN,821.15,821.55,820.65,820.85
192,44820,240606,SBIN,820.8,821.0,820.0,820.75
193,44880,240606,SBIN,820.55,820.9,820.1,820.3
