,time,date,symbol,open,high,low,close
0,33300,240604,SBIN,892.0,897.0,863.15,865.5
1,33360,240604,SBIN,864.05,874.05,858.3,873.9
2,33420,240604,SBIN,874.2,879.2,868.8,879.2
3,33480,240604,SBIN,879.4,879.4,875.5,877.85
4,33540,240604,SBIN,878.55,879.4,871.45,874.5
5,33600,240604,SBIN,873.45,875.9,872.55,875.25
6,33660,240604,SBIN,873.7,875.3,868.0,868.8
7,33720,240604,SBIN,868.8,869.55,861.55,861.85
8,33780,240604,SBIN,861.85,862.7,850.35,850.9
9,33840,240604,SBIN,850.95,862.55,850.25,857.3
10,33900,240604,SBIN,857.75,858.9,850.9,853.55
11,33960,240604,SBIN,853.6,854.4,851.05,851.85
12,34020,240604,SBIN,851.9,854.95,850.0,852.25
13,34080,240604,SBIN,852.25,852.25,849.0,849.75
14,34140,240604,SBIN,849.85,850.6,843.9,844.35
15,34200,240604,SBIN,844.25,844.25,836.6,840.15
16,34260,240604,SBIN,840.0,849.4,839.85,846.4
17,34320,240604,SBIN,846.0,847.0,843.55,846.6
18,34380,240604,SBIN,846.6,854.7,846.6,854.35
19,34440,240604,SBIN,854.95,855.8,851.1,853.8
20,34500,240604,SBIN,853.5,858.8,853.2,858.8
21,34560,240604,SBIN,858.4,858.7,855.0,856.1
22,34620,240604,SBIN,855.8,857.9,854.65,856.8
23,34680,240604,SBIN,857.6,858.0,854.95,856.0
24,34740,240604,SBIN,855.75,857.0,854.75,856.8
25,34800,240604,SBIN,856.8,857.65,852.2,852.7
26,34860,240604,SBIN,853.6,856.0,850.0,851.15
27,34920,240604,SBIN,850.7,851.9,846.05,849.8
28,34980,240604,SBIN,849.95,852.8,849.4,851.3
29,35040,240604,SBIN,851.2,852.0,849.35,849.95
30,35100,240604,SBIN,849.9,850.3,845.7,848.0
31,35160,240604,SBIN,848.35,849.8,846.7,849.45
32,35220,240604,SBIN,849.15,853.0,849.0,853.0
33,35280,240604,SBIN,853.4,856.7,851.7,856.5
34,35340,240604,SBIN,856.65,857.0,853.75,855.45
35,35400,240604,SBIN,854.95,856.6,852.1,856.55
36,35460,240604,SBIN,856.85,857.95,855.75,856.85
37,35520,240604,SBIN,856.95,859.0,855.35,857.9
38,35580,240604,SBIN,857.6,861.0,857.1,860.35
39,35640,240604,SBIN,860.35,861.65,858.9,860.65
40,35700,240604,SBIN,860.75,861.5,859.15,861.35
