,time,date,symbol,open,high,low,close
0,33300,240607,SBIN,819.9,826.0,810.85,814.85
1,33360,240607,SBIN,814.55,814.55,810.5,814.45
2,33420,240607,SBIN,814.3,814.9,812.15,812.35
3,33480,240607,SBIN,812.55,813.4,811.7,812.4
4,33540,240607,SBIN,812.9,813.7,811.95,813.7
5,33600,240607,SBIN,813.85,815.2,813.65,815.2
6,33660,240607,SBIN,815.3,816.4,814.55,816.4
7,33720,240607,SBIN,816.45,817.2,816.2,816.85
8,33780,240607,SBIN,816.65,817.2,816.35,816.95
9,33840,240607,SBIN,817.0,817.05,816.35,817.0
10,33900,240607,SBIN,817.0,817.0,815.0,815.6
11,33960,240607,SBIN,815.75,817.0,815.5,816.8
12,34020,240607,SBIN,817.0,817.35,816.2,816.5
13,34080,240607,SBIN,816.45,816.6,815.55,816.5
14,34140,240607,SBIN,816.5,817.0,816.3,817.0
15,34200,240607,SBIN,817.0,817.15,816.6,817.0
16,34260,240607,SBIN,816.95,817.0,816.3,817.0
17,34320,240607,SBIN,817.0,817.0,816.1,816.4
18,34380,240607,SBIN,816.2,817.1,816.1,816.9
19,34440,240607,SBIN,816.9,817.1,816.6,817.0
20,34500,240607,SBIN,817.0,817.05,816.65,816.95
21,34560,240607,SBIN,817.0,817.05,816.2,816.45
22,34620,240607,SBIN,816.45,816.95,815.75,816.75
23,34680,240607,SBIN,816.9,818.4,816.55,818.2
24,34740,240607,SBIN,818.3,818.55,817.55,818.3
25,34800,240607,SBIN,818.3,818.5,817.9,818.35
26,34860,240607,SBIN,818.45,818.5,817.65,818.0
27,34920,240607,SBIN,818.0,818.35,817.05,818.0
28,34980,240607,SBIN,818.0,818.5,817.1,817.8
29,35040,240607,SBIN,817.8,818.3,817.5,818.0
30,35100,240607,SBIN,818.25,818.3,816.15,816.3
31,35160,240607,SBIN,816.8,817.0,815.85,816.5
32,35220,240607,SBIN,816.3,816.5,815.8,816.0
33,35280,240607,SBIN,816.35,816.35,814.25,816.0
